artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Matt Maher,United States,Newfoundland and Labrador,1974-11-10,activo
Pearl Jam,United States,Seattle,1990,activo
High Valley,Canada,La Crete,1997,activo
Demi the Daredevil,Austin,no data,no data,activo
Brent Cobb,United States,Ellaville,1986-08-01,activo
From Ashes to New,United States,Lancaster,2013-05-26,activo
Adam Jensen,Boston,no data,no data,activo
American Aquarium,United States,Raleigh,2005,activo
My Morning Jacket,United States,Louisville,1998,activo
T‐Bone Walker,United States,Linden,1910-05-28,activo
Black Stone Cherry,United States,Edmonton,2001-06-04,activo
Green Day,United States,Berkeley,1989,activo
Nat King Cole,United States,Montgomery,1919-03-17,activo
Chubby Checker,Malvern,Andrews,1941-10-03,activo
HEALTH,United States,Los Angeles,2005-04,activo
Mitch Rossell,United States,Chattanooga,no data,activo
Sylvan Esso,United States,Durham,2012,activo
Florida Georgia Line,United States,Nashville,2010,activo
Blitzen Trapper,United States,Portland,2000,activo
100 gecs,United States,St. Louis,2015,activo
The Rolling Stones,United Kingdom,London,1962,activo
DJ Cam,France,Paris,1973-12-31,activo
The Beatles,United Kingdom,Liverpool,1960,activo
OneRepublic,United States,Colorado Springs,2004,activo
Common,United States,Chicago,1972-03-13,activo
Tana French,Ireland,Burlington,1973-05-10,activo
Ryan Adams,United States,Jacksonville,1974-11-05,activo
The Okee Dokee Brothers,Minneapolis,no data,2005,activo
Jordan Feliz,no data,Clovis,1989-03-15,activo
Zac Brown Band,United States,Dahlonega,2000,activo
Loving,Victoria,no data,no data,activo
Tame Impala,Australia,Sydney,1986-01-20,activo
Three Days Grace,Canada,Norwood,1997,activo
X Ambassadors,United States,Brooklyn,2008-10-22,activo
Kurt Vile,United States,Lansdowne,1980-01-03,activo
I Am They,Carson City,no data,no data,activo
Matthew West,United States,Downers Grove,1977-04-25,activo
Bastille,United Kingdom,London,2010,activo
The Learning Station,United States,no data,1987,activo
Intervals,Canada,Toronto,2011,activo
Shane & Shane,United States,Texas,2001,activo
LiSA,Japan,Seki,1987-06-24,activo
Fleet Foxes,United States,Seattle,2006,activo
Dominic Fike,Florida,Naples,1995-12-30,activo
BLUE ENCOUNT,Japan,no data,2004,activo
Giant Panda Guerilla Dub Squad,United States,Rochester,2001,activo
Kate Bush,England,Welling,1958-07-30,activo
León Larregui,Mexico,Cuernavaca,1973-12-01,activo
So!YoON!,South Korea,Jecheon,1997-05-23,activo
The Beatles,United Kingdom,Liverpool,1960,activo
BUMP OF CHICKEN,Japan,no data,1994,activo
AWOLNATION,United States,Los Angeles,2009,activo
Generación 12,Colombia,Bogotá,2007,activo
Tennis,United States,Denver,2010,activo
Smash Into Pieces,Sweden,Örebro,2008,activo
Korn,United States,Bakersfield,1993,activo
Arise Roots,California,Los Angeles,2010,activo
Mandisa,United States,Citrus Heights,1976-10-02,activo
Colton Dixon,United States,Murfreesboro,1991-10-19,activo
Yunus Emre,Türkiye,Ankara,1986,activo
Slow Crush,Belgium,Leuven,2017,activo
Joywave,United States,Rochester,2010,activo
Guns N’ Roses,United States,Los Angeles,1985-03,activo
Waxahatchee,Brooklyn,Birmingham,1989-01-04,activo
Dustin Lynch,United States,Tullahoma,1985-05-14,activo
System of a Down,United States,Glendale,1994,activo
Seether,United States,Pretoria,1999,activo
Jeremy Camp,United States,Lafayette,1978-01-12,activo
