canciones,artistas,género,tipo,año lanzamiento
Okie From Muskogee - Live,John Anderson,Rock,track,2020
Love You Like I Used To,Russell Dickerson,Rock,track,2020
Lost in Translation,The Neighbourhood,Rock,track,2020
Love You Like I Used To,Russell Dickerson,Rock,track,2020
At The Door,The Strokes,Rock,track,2020
Be A Light,Thomas Rhett,Rock,track,2020
Lilacs,Waxahatchee,Rock,track,2020
Way Maker,Mandisa,Rock,track,2020
Run It,My Morning Jacket,Rock,track,2020
circle the drain,Soccer Mommy,Rock,track,2020
The Devil Went Down to Georgia,Nickelback,Rock,track,2020
Faithful God,I AM THEY,Rock,track,2020
Somebody That I Used to Know,Three Days Grace,Rock,track,2020
AMEN,Micah Tyler,Rock,track,2020
"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",100 gecs,Rock,track,2020
Wake Up Sleeper,Austin French,Rock,track,2020
All Night,Brothers Osborne,Rock,track,2020
Not The Same Anymore,The Strokes,Rock,track,2020
Eternal Summer,The Strokes,Rock,track,2020
It Might Be Time,Tame Impala,Rock,track,2020
Parasite Eve,Bring Me The Horizon,Rock,track,2020
Urantia,Deftones,Rock,track,2020
Scars that I'm Hiding,From Ashes to New,Rock,track,2020
Who You Are To Me (feat. Lady A),Chris Tomlin,Rock,track,2020
Robbery,Lime Cordiale,Rock,track,2020
Left Me Like Summer,Daily J,Rock,track,2020
Visions,Loving,Rock,track,2020
Shot In The Dark,AC/DC,Rock,track,2020
Infinite,Silverstein,Rock,track,2020
Protect The Land,System Of A Down,Rock,track,2020
Pac-Man (feat. ScHoolboy Q),Gorillaz,Rock,track,2020
One More Year,Tame Impala,Rock,track,2020
Mix 'Em With Whiskey,Drake White,Rock,track,2020
Florida,Dominic Fike,Rock,track,2020
Come Here,Dominic Fike,Rock,track,2020
Like You Love Me,Tauren Wells,Rock,track,2020
Domestic Bliss,Glass Animals,Rock,track,2020
The Difference,Tyler Rich,Rock,track,2020
Too Much Whiskey,Marcus King,Rock,track,2020
Can I Believe You,Fleet Foxes,Rock,track,2020
Patience,Chris Cornell,Rock,track,2020
Genocidal Humanoidz,System Of A Down,Rock,track,2020
How Deep Is Your Love,Bee Gees,Rock,track,2020
A Partir De Hoy,David Bisbal,Rock,track,2020
Brightside,Arrested Youth,Rock,track,2020
You Keep Hope Alive,Mandisa,Rock,track,2020
All Eyes on You,Smash Into Pieces,Rock,track,2020
Teardrops,Bring Me The Horizon,Rock,track,2020
Till There's Nothing Left,Cam,Rock,track,2020
Idol (feat. Tech N9ne),Hollywood Undead,Rock,track,2020
Lamb's Wool,Foster The People,Rock,track,2020
Don't Let Me Down,Milky Chance,Rock,track,2020
Devil Is a Liar,Colton Dixon,Rock,track,2020
The Best,AWOLNATION,Rock,track,2020
It’s All So Incredibly Loud,Glass Animals,Rock,track,2020
Fire,Waxahatchee,Rock,track,2020
"Dear Diary,",Bring Me The Horizon,Rock,track,2020
Revolutionary,Josh Wilson,Rock,track,2020
Momentary Bliss (feat. slowthai and Slaves),Gorillaz,Rock,track,2020
How Lucky,Kurt Vile,Rock,track,2020
Wings,So!YoON!,Rock,track,2020
The Valley of The Pagans (feat. Beck),Gorillaz,Rock,track,2020
Caution,The Killers,Rock,track,2020
TOGETHER,for KING & COUNTRY,Rock,track,2020
ABBY,Travis Denning,Rock,track,2020
Glory,The Score,Rock,track,2020
Me & You Together Song,The 1975,Rock,track,2020
Home Sweet,Russell Dickerson,Rock,track,2020
Carried Me With You,Brandi Carlile,Rock,track,2020
On Track,Tame Impala,Rock,track,2020
Funnel Of Love,Wanda Jackson,Rock,track,2020
What If,Matthew West,Rock,track,2020
Good Day,Brett Eldredge,Rock,track,2020
California Day,Common Kings,Rock,track,2020
The Shining,The Neighbourhood,Rock,track,2020
Awesome God,Shane & Shane,Rock,track,2020
Glorify (feat. Lecrae & Hulvey),Jordan Feliz,Rock,track,2020
Headless,Deftones,Rock,track,2020
Hell and Back,Self Deception,Rock,track,2020
Sweet Mariona,Marcus King,Rock,track,2020
30,Badflower,Rock,track,2020
Guava Lane (feat. Eli Mac),Iration,Rock,track,2020
On Me (feat. Ava Max),Thomas Rhett,Rock,track,2020
Here We Go Again,The Neighbourhood,Rock,track,2020
NAN CHUN,SE SO NEON,Rock,track,2020
Run To The Father,Matt Maher,Rock,track,2020
Zen (with K.Flay & grandson),X Ambassadors,Rock,track,2020
Young Once,Sam Hunt,Rock,track,2020
The Times They Are a-Changin (Campaign Zero),Goth Babe,Rock,track,2020
She's Mine,Kip Moore,Rock,track,2020
When We Fall Apart,Ryan Stevenson,Rock,track,2020
Dark Days [Feat. Sylvan Esso],Local Natives,Rock,track,2020
Deleter,GROUPLOVE,Rock,track,2020
BxMxC,BABYMETAL,Rock,track,2020
Roadkill,The 1975,Rock,track,2020
Tomorrow's Dust,Tame Impala,Rock,track,2020
Silver Lining,The Neighbourhood,Rock,track,2020
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon,Rock,track,2020
It's About Time (feat. Florida Georgia Line),Russell Dickerson,Rock,track,2020
Inochi No Tabekata,Eve,Rock,track,2020
Thank You Lord (feat.Thomas Rhett & Florida Georgia Line),Chris Tomlin,Rock,track,2020
One Day She’s Here,Marcus King,Rock,track,2020
Black - Live MTV Unplugged,Pearl Jam,Rock,track,2020
Sleigh Ride,The Ronettes,Rock,track,2020
Hang On,NEEDTOBREATHE,Rock,track,2020
Over the Influence,The Neighbourhood,Rock,track,2020
Aries (feat. Peter Hook and Georgia),Gorillaz,Rock,track,2020
You?,Two Feet,Rock,track,2020
Hold Me Down,The Happy Fits,Rock,track,2020
No Place Left to Leave,Brent Cobb,Rock,track,2020
The Divine Chord,The Avalanches,Rock,track,2020
Some Kind of Disaster,All Time Low,Rock,track,2020
Home Sweet,Russell Dickerson,Rock,track,2020
Shake Your Sillies Out,The Learning Station,Rock,track,2020
The Pink Phantom (feat. Elton John and 6LACK),Gorillaz,Rock,track,2020
January,Loving,Rock,track,2020
Tonight (I Wish I Was Your Boy),The 1975,Rock,track,2020
Heartless Madness,Dynazty,Rock,track,2020
Alive & Breathing (feat. Elle Limebear),Matt Maher,Rock,track,2020
"Bar, Guitar, and a Honky Tonk Crowd",Brent Cobb,Rock,track,2020
Holler,Granger Smith,Rock,track,2020
Unstoppable God,Sanctus Real,Rock,track,2020
2016,Sam Hunt,Rock,track,2020
Shameika,Fiona Apple,Rock,track,2020
Lost The Game,Two Feet,Rock,track,2020
Better Days,OneRepublic,Rock,track,2020
Good Game,Dominic Fike,Rock,track,2020
Joe Blazey,Dominic Fike,Rock,track,2020
Hard To Forget,Sam Hunt,Rock,track,2020
You Time,Scotty McCreery,Rock,track,2020
Boku no Sensou - TV Size,Shinsei Kamattechan,Rock,track,2020
Is Everybody Going Crazy?,Nothing But Thieves,Rock,track,2020
yellow is the color of her eyes,Soccer Mommy,Rock,track,2020
As She Dreams,Goth Babe,Rock,track,2020
Patience,Chris Cornell,Rock,track,2020
YOUR NAME IS POWER,Rend Collective,Rock,track,2020
The Man Who Loves You The Most,Zac Brown Band,Rock,track,2020
Fetch The Bolt Cutters,Fiona Apple,Rock,track,2020
Désolé (feat. Fatoumata Diawara) - Extended Version,Gorillaz,Rock,track,2020
My Own Soul’s Warning,The Killers,Rock,track,2020
Como Tú (Magic Music Box),León Larregui,Rock,track,2020
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,Rock,track,2020
Cancel Me,Dominic Fike,Rock,track,2020
Dangerous,Seether,Rock,track,2020
Can’t Do Much,Waxahatchee,Rock,track,2020
I Don't Know,Ozzy Osbourne,Rock,track,2020
Bad Habits,Silverstein,Rock,track,2020
Goodbye to Romance,Ozzy Osbourne,Rock,track,2020
Today Tomorrow & Forever,Sanctus Real,Rock,track,2020
Good Morning World!,BURNOUT SYNDROMES,Rock,track,2020
cotton candy,YUNGBLUD,Rock,track,2020
Wrong or Right,Surf Trash,Rock,track,2020
Gabrielle,Brett Eldredge,Rock,track,2020
Diesel (feat. Earl Dibbles Jr.),Granger Smith,Rock,track,2020
Dead Walk,RedHook,Rock,track,2020
Little Bastards,Palaye Royale,Rock,track,2020
Error,Deftones,Rock,track,2020
Moving,The Happy Fits,Rock,track,2020
Only She Knows,Loving,Rock,track,2020
mars,YUNGBLUD,Rock,track,2020
As the Deer,Shane & Shane,Rock,track,2020
For Sure,Future Islands,Rock,track,2020
Love,We Are Messengers,Rock,track,2020
Soul,Lee Brice,Rock,track,2020
Heat Seeker,DREAMERS,Rock,track,2020
Bum Bum,Dirty Heads,Rock,track,2020
Before The Dogwood Blooms,American Aquarium,Rock,track,2020
Deadlines (Hostile),Car Seat Headrest,Rock,track,2020
The Spell of Mathematics,Deftones,Rock,track,2020
Disobey,Crystal Lake,Rock,track,2020
Every Other Memory,Ryan Hurd,Rock,track,2020
July,Betcha,Rock,track,2020
Pesos,The Terrys,Rock,track,2020
Only Children,Jason Isbell and the 400 Unit,Rock,track,2020
Carry On,The Score,Rock,track,2020
Suicide Solution,Ozzy Osbourne,Rock,track,2020
Vendetta,Fit For A King,Rock,track,2020
Nothing Compares 2 U,Chris Cornell,Rock,track,2020
unlasting,LiSA,Rock,track,2020
"Sing (feat. Russell Dickerson, Florida Georgia Line)",Chris Tomlin,Rock,track,2020
Riptide,grandson,Rock,track,2020
Ordinary Man (feat. Elton John),Ozzy Osbourne,Rock,track,2020
AUATC,Bon Iver,Rock,track,2020
Dreamsicle,Jason Isbell and the 400 Unit,Rock,track,2020
Wading In Waist-High Water,Fleet Foxes,Rock,track,2020
Obsession,Joywave,Rock,track,2020
Need Your Love,Tennis,Rock,track,2020
Can't Be Mine,Bad Nerves,Rock,track,2020
Breathe,Shane & Shane,Rock,track,2020
Kokoroyohou,Eve,Rock,track,2020
Can't Help Falling in Love,Elvis Presley,Rock,track,2020
Breaking the Mirror,Fit For A King,Rock,track,2020
Tonight Is The Night I Die,Palaye Royale,Rock,track,2020
Mercy's Shore,NEEDTOBREATHE,Rock,track,2020
Hunted,Egypt Central,Rock,track,2020
Ludens,Bring Me The Horizon,Rock,track,2020
The Champion,The Score,Rock,track,2020
炎,LiSA,Rock,track,2020
Move Me,Badflower,Rock,track,2020
Money,Lime Cordiale,Rock,track,2020
Beautiful Stranger,Marcus King,Rock,track,2020
Buy A Boy A Baseball,Granger Smith,Rock,track,2020
The Birthday Party,The 1975,Rock,track,2020
My Little Reason Why,Lisa Hannigan,Rock,track,2020
What She Wants Tonight,Luke Bryan,Rock,track,2020
Jesus Christ 2005 God Bless America,The 1975,Rock,track,2020
Tobacco Sunburst,The Neighbourhood,Rock,track,2020
Again,Black Stone Cherry,Rock,track,2020
Beautiful Boy (Darling Boy) - Ultimate Mix,John Lennon,Rock,track,2020
Cosmonauts,Fiona Apple,Rock,track,2020
Obey (with YUNGBLUD),Bring Me The Horizon,Rock,track,2020
History of Violence,Theory of a Deadman,Rock,track,2020
Father of All...,Green Day,Rock,track,2020
Welcome to the Jungle,Stage Kids,Rock,track,2020
Stolen,Dashboard Confessional,Rock,track,2020
I CHOOSE TO WORSHIP,Rend Collective,Rock,track,2020
Runner,Tennis,Rock,track,2020
I'll Haunt You,Tennis,Rock,track,2020
Heart Of A Champion (feat. Papa Roach & Ice Nine Kills),Hollywood Undead,Rock,track,2020
Stranger To Yourself,Loving,Rock,track,2020
Don't Be Shy,Yusuf / Cat Stevens,Rock,track,2020
Raison Detre,Eve,Rock,track,2020
Long Cool Woman (In a Black Dress),Ronnie Dunn,Rock,track,2020
Chinatown,Bleachers,Rock,track,2020
Young And Beautiful,Glass Animals,Rock,track,2020
acting like that (feat. Machine Gun Kelly),YUNGBLUD,Rock,track,2020
survivin',Bastille,Rock,track,2020
Jesus Is Coming Back,Jordan Feliz,Rock,track,2020
PHOENIX,BURNOUT SYNDROMES,Rock,track,2020
Under the Graveyard,Ozzy Osbourne,Rock,track,2020
Rack of His,Fiona Apple,Rock,track,2020
I Could Sing of Your Love Forever,Shane & Shane,Rock,track,2020
Pink,Two Feet,Rock,track,2020
Broken Up,Mitchell Tenpenny,Rock,track,2020
The Luckier You Get,American Aquarium,Rock,track,2020
I Am Steve,Hey Steve,Rock,track,2020
Fire,The Score,Rock,track,2020
Ya Se Va,Los Solitarios,Rock,track,2020
Baby Drummer,Bad Nerves,Rock,track,2020
Child Again,NEEDTOBREATHE,Rock,track,2020
God of Fire,Fit For A King,Rock,track,2020
Power (feat. Bear Rinehart of NEEDTOBREATHE),Chris Tomlin,Rock,track,2020
Smile (Single Mix),Sidewalk Prophets,Rock,track,2020
ないものねだり - Revenge THE FIRST TAKE,KANA-BOON,Rock,track,2020
Locked (In My Head),Fit For A King,Rock,track,2020
Favorite Place (feat. The Band CAMINO),All Time Low,Rock,track,2020
Ladies,Fiona Apple,Rock,track,2020
Demon Fire,AC/DC,Rock,track,2020
A thought on an autumn night,JANNABI,Rock,track,2020
Grew up on That,High Valley,Rock,track,2020
