artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Fitz and the Tantrums,United States,Los Angeles,2008,activo
Willie Nelson,United States,Abbott,1933-04-30,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Bring Me the Horizon,United Kingdom,Sheffield,2004-03,activo
Citizen Way,Elgin,Elgin,2004,activo
Starset,United States,Columbus,2013,activo
Matthew Mole,South Africa,no data,no data,activo
LOCASH,United States,no data,2011,activo
Ozzy Osbourne,Los Angeles,Aston,1948-12-03,activo
Fleetwood Mac,United Kingdom,London,1967-07,activo
blink‐182,United States,Poway,1992-08-01,activo
sumika,Japan,Kawasaki,2013-05-17,activo
Daughtry,United States,no data,2006-07-10,activo
Missio,United States,Austin,2015,activo
Russell Dickerson,United States,Nashville,1987-05-07,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Fruit Bats,United States,Chicago,1997,activo
Eve,United States,Philadelphia,1978-11-10,activo
The Quaker City Night Hawks,no data,no data,no data,activo
Thirty Seconds to Mars,United States,Los Angeles,1998,activo
BABYMETAL,Japan,Tokyo,2010-11-28,activo
Bon Iver,United States,Eau Claire,2006,activo
Slipknot,United States,Des Moines,1995,activo
Sharon Van Etten,United States,Clinton,1981-02-26,activo
Shinsei,no data,no data,no data,activo
O.A.R.,Columbus,Rockville,1996,activo
Jonny Hill,Austria,Graz,1940-07-27,activo
The Black Keys,United States,Akron,2001,activo
Broken Bells,United States,Los Angeles,2009-09-29,activo
Hozier,Ireland,Bray,1990-03-17,activo
Imagine Dragons,United States,Las Vegas,2008,activo
Sam Fender,United Kingdom,North Shields,1994-04-25,activo
Mrs. GREEN APPLE,Japan,no data,2013,activo
Switchfoot,United States,San Diego,1997,activo
Mitchell Tenpenny,United States,Nashville,1989-08-17,activo
Vampire Weekend,United States,New York,2006-02-06,activo
Catfish and the Bottlemen,United Kingdom,no data,no data,activo
Public Enemy,United States,Nassau County,1985,activo
Art Pepper,United States,Gardena,1925-09-01,activo
Ghost,Sweden,Linköping,2008,activo
no data,no data,no data,no data,no data
Sum 41,Canada,Ajax,1996,activo
Fog Lake,Canada,Glovertown,1993-07-26,activo
Unspoken,United States,no data,2003,activo
Foo Fighters,United States,Seattle,1994,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Stefan Wolf,Germany,Nordhausen,1938-04-17,activo
Black Sabbath,United Kingdom,Birmingham,1968-09,activo
Papa Roach,United States,Vacaville,1993,activo
Joan Baez,United States,Staten Island,1941-01-09,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Milky Chance,Germany,Kassel,2012,activo
Florence + the Machine,United Kingdom,London,2007,activo
Chris Rea,United Kingdom,Middlesbrough,1951-03-04,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Juanes,Colombia,Medellín,1972-08-09,activo
Des Rocs,United States,no data,no data,activo
Tenth Avenue North,West Palm Beach,no data,2000,activo
Death Cab for Cutie,United States,Bellingham,1997,activo
Leeland,United States,Baytown,2004,activo
Travis,Scotland,Glasgow,1990,activo
Donna Summer,United States,Boston,1948-12-31,activo
Tom Petty,United States,Gainesville,1950-10-20,activo
Jon Langston,United States,Loganville,1991-04-07,activo
Piano Dreamers,no data,no data,no data,activo
Rojo,Mexico,Hermosillo,1999,activo
Chris Janson,United States,Perryville,1986-04-02,activo
Simple Plan,Canada,Montréal,1999,activo
Brantley Gilbert,United States,Jefferson,1985-01-20,activo
Sam Cooke,United States,Clarksdale,1931-01-22,activo
Goth Babe,no data,no data,no data,activo
American Authors,United States,Boston,2006,activo
Sheryl Crow,United States,Kennett,1962-02-11,activo
Jason Aldean,United States,Macon,1977-02-28,activo
Mark Knopfler,United Kingdom,Glasgow,1949-08-12,activo
Andrew Bird,United States,Lake Forest,1973-07-11,activo
Rammstein,Germany,Berlin,1994-01,activo
RADWIMPS,Japan,Yokohama,2001,activo
The Red Pears,El Monte,no data,no data,activo
The Steel Woods,United States,Nashville,no data,activo
Stick Figure,United States,Duxbury,2006,activo
Isaac Hayes,United States,Covington,1942-08-20,activo
Sublime with Rome,United States,Long Beach,2009,activo
Dan Brown,United States,Rockingham County,1964-06-22,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Arrested Youth,United States,no data,no data,activo
Maná,Mexico,Guadalajara,1986,activo
Official髭男dism,Japan,Shimane,2012-06-07,activo
for KING & COUNTRY,United States,Nashville,2007,activo
Freddie Mercury,United Kingdom,Stone Town,1946-09-05,activo
Glass Animals,United Kingdom,Oxford,2010-01-01,activo
Jon Pardi,United States,Dixon,1985-05-20,activo
YUNGBLUD,West Yorkshire,Doncaster,1997-08-05,activo
MARETU,Japan,no data,no data,activo
They Are Gutting a Body of Water,United States,Philadelphia,2016,activo
Pacific Avenue,Australia,New South Wales,2017,activo
CHON,United States,San Diego,2008,activo
Ruts DC,no data,no data,no data,activo
Michael W. Smith,United States,Kenova,1957-10-07,activo
Skylar Grey,United States,Mazomanie,1986-02-23,activo
Talking Heads,United States,New York,1974,activo
