artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Ellie Goulding,United Kingdom,Hereford,1986,activo
Billy Joel,United States,The Bronx,1949,activo
Instinct,no data,no data,no data,activo
Buddy Holly,United States,Lubbock,1936,activo
Aaaron,Berlin,no data,no data,activo
James Brown,United States,Barnwell,1933,activo
twenty one pilots,United States,Columbus,2009,activo
Chelsea Locklear,no data,no data,no data,activo
Lauv,United States,San Francisco,1994,activo
Catch the Rise,no data,no data,no data,activo
Marshmello,United States,Philadelphia,1992,activo
Iggy Pop,United States,Muskegon,1947,activo
Cat Power,United States,Atlanta,1972,activo
Marie‐Claire Alain,France,Saint-Germain-en-Laye,1926,activo
Nicole,Germany,Saarbrücken,1964,activo
Scott Lawlor,United States,no data,no data,activo
Omar Apollo,United States,Hobart,1997,activo
Iggy Pop,United States,Muskegon,1947,activo
Wolfram Berger,Austria,Graz,1945,activo
Caity Baser,United Kingdom,Southampton,no data,activo
Unholy Grave,Japan,Nagoya,1993,activo
Blur,United Kingdom,London,1990,activo
Craig David,United Kingdom,Southampton,1981,activo
Bessie Smith,United States,Chattanooga,1894,activo
Kajagoogoo,United Kingdom,Leighton Buzzard,1982,activo
Thomas Bergersen,Norway,Trondheim,1980,activo
Hugo Montenegro,United States,New York,1925,activo
ZZ Top,United States,Houston,1969,activo
Demi Lovato,United States,Albuquerque,1992,activo
Sabrina Carpenter,United States,Bucks County,1999,activo
Pia Mia,United States,Guam,1996,activo
Winterburn,United Arab Emirates,no data,no data,activo
Remix Factory,no data,no data,no data,activo
Paramore,United States,Franklin,2004,activo
no data,no data,no data,no data,no data
Boh Boh,no data,no data,no data,activo
Top Hits,no data,no data,no data,activo
HOYO-MiX,China,no data,2011,activo
Greatest Hits,no data,no data,no data,activo
JAY‐Z,United States,Brooklyn,1969,activo
Yeah Yeah Yeahs,United States,New York,2000,activo
Art Popular,Brazil,São Paulo,no data,activo
The Four Seasons,United States,Newark,1960,activo
Scott Lawlor,United States,no data,no data,activo
Crystal Gayle,United States,Indiana,1951,activo
Linkin Park,United States,Agoura Hills,1996,activo
