artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Bracket,United States,Forestville,1992,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Strung Out,United States,Simi Valley,1992,activo
Satanic Surfers,Sweden,Lund,1989,activo
Los Chickléts,Cuautitlán Izcalli,no data,no data,activo
Bite Me Bambi,Orange County,no data,2018-07-14,activo
Stephen King,United States,Portland,1947-09-21,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Das Lumpenpack,Germany,Germany,2013-03,activo
88 Fingers Louie,United States,Chicago,1993,activo
Kill Lincoln,United States,no data,2008,activo
Masked Intruder,United States,Madison,2010,activo
Hot Water Music,United States,Gainesville,1994-10,activo
La Fúmiga,Comunidad Valenciana,Alzira,no data,activo
Los Enanitos Verdes,Argentina,Mendoza,1979,activo
Hooray For Our Side,Orange County,Anaheim,2010-11-27,activo
The Bouncing Souls,United States,New Brunswick,1988,activo
Pulley,United States,Simi Valley,1994,activo
10-FEET,Japan,no data,1997,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Snuff,United Kingdom,Hendon,1986,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Rude Tins,Brugg,no data,2003,activo
face to face,United States,Victorville,1991,activo
Hans Gruber and the Die Hards,Austin,no data,no data,activo
Joe Vasconcellos,Chile,Santiago,1959-03-09,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Big D and the Kids Table,United States,Boston,1995-10,activo
Tiger Army,United States,Berkeley,1995,activo
The Planet Smashers,Canada,Montréal,1994,activo
Panteón Rococó,Mexico,no data,1995,activo
Kameleba,Argentina,Villa Mercedes,2001,activo
Five State Drive,Nagoya,no data,no data,activo
Omnigone,California,no data,no data,activo
Be Like Max,Las Vegas,Las Vegas,2010,activo
Tommy Dorsey,United States,Shenandoah,1905-11-19,activo
The Beatles,United Kingdom,Liverpool,1960,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Stop The Presses,Brooklyn,no data,no data,activo
Inspector,Mexico,Monterrey,1995-11,activo
Good Riddance,United States,Santa Cruz,1986,activo
Riskee and The Ridicule,no data,no data,no data,activo
Codename Colin,Hemel Hempstead,Stevenage,2016-02-01,activo
Los Cafres,Argentina,Buenos Aires,1987,activo
Nat King Cole,United States,Montgomery,1919-03-17,activo
Ten Foot Pole,United States,Simi Valley,1993,activo
Bad Cop/Bad Cop,United States,Los Angeles,2011,activo
Los Lobos,United States,Los Angeles,1973,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Los Caligaris,Argentina,Córdoba,1997-08-24,activo
K-Man & The 45s,Canada,no data,no data,activo
La Tremenda Korte,Mexico,Ciudad de México,1994,activo
Duke Ellington and His Orchestra,United States,Harlem,1927,activo
Out of Control Army,Mexico,Mexico,2015,activo
Stephen King,United States,Portland,1947-09-21,activo
Down by Law,United States,Los Angeles,1989,activo
The Beatles,United Kingdom,Liverpool,1960,activo
No Such Noise,no data,no data,no data,activo
Just Say Nay,London,no data,2015,activo
Hub City Stompers,United States,no data,2002,activo
Teenage Bottlerocket,United States,Laramie,2001,activo
Club Sandinista!,no data,no data,no data,activo
Jamaican Jazz Orchestra,Belgium,Ghent,2012,activo
Millencolin,Sweden,Örebro,1992-10-12,activo
The Beatles,United Kingdom,Liverpool,1960,activo
EGO-WRAPPIN’,Japan,Osaka,1996,activo
Devon Kay & the Solutions,Chicago,Chicago,2011,activo
Russkaja,Austria,Wien,2005,activo
Tsunami Bomb,United States,Petaluma,1998,activo
Antidoping,no data,no data,no data,activo
Joey Cape,United States,Santa Barbara,1966-11-16,activo
Noise Complaint,Chino,no data,no data,activo
Tony Bennett,United States,Long Island City,1926-08-03,activo
Lagwagon,United States,Goleta,1990,activo
Биртман,Russia,Sankt-Peterburg,2015,activo
The Mighty Mighty Bosstones,United States,Boston,1983,activo
The Living End,Australia,Melbourne,1994,activo
Los Prisioneros,Chile,Chile,1982,activo
Boa Brass Band,France,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Nine Inch Nails,United States,Cleveland,1988,activo
En Tol Sarmiento,País Vasco,Yécora/Iekora,2005,activo
Mest,United States,Blue Island,1996,activo
Against Me!,United States,Gainesville,1997,activo
The Bruce Lee Band,United States,San Jose,1995,activo
2 Minutos,Argentina,Valentín Alsina,1987-07,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Much the Same,United States,Chicago,1999-05,activo
The Cat Empire,Australia,Melbourne,1999,activo
South Central Skankers,United States,Los Angeles,no data,activo
Zebrahead,Orange County,La Habra,1996,activo
Quique Neira,Chile,no data,1973-04-11,activo
Toots & The Maytals,Jamaica,Kingston,1963,activo
The Offspring,United States,Huntington Beach,1984,activo
Los de Abajo,Ciudad de México,no data,1992,activo
Cigar,United States,Eugene,1996,activo
Sorry Sweetheart,Denver,no data,no data,activo
MxPx,United States,Bremerton,1992-06-30,activo
Catbite,Philadelphia,no data,2018-05,activo
Rehasher,United States,Gainesville,2002,activo
Bad Religion,United States,Los Angeles,1980,activo
Byron Lee and the Dragonaires,Jamaica,Kingston,1950,activo
31 Minutos,Chile,no data,2003-03,activo
The Beatles,United Kingdom,Liverpool,1960,activo
[spunge],United Kingdom,Tewkesbury,1997,activo
Bob Marley & The Wailers,Jamaica,Kingston,1970-12,activo
New York Ska-Jazz Ensemble,United States,New York,1994,activo
Half Past Two,California,no data,no data,activo
Sound Vision library,no data,[Worldwide],2004-01-01,activo
Sublime,Long Beach,Long Beach,1986,activo
Koers,Lleida,Lleida,2014,activo
H2O,United States,no data,no data,activo
Cut Capers,United Kingdom,no data,no data,activo
Owen Gray,Jamaica,Kingston,1939-07-05,activo
