Artista,Biografia,Listeners,Playcount,Artistas Similares
Bracket,"There are two artists which use this name:
1. A punk band from the United States
2. A rap group from Nigeria

1. Bracket is a melodic punk band from Forestville, California, originally signed to Caroline Records. Their original, smooth sound led them to associate with Fat Wreck Chords, producing several albums and EPs. In 2006, they debuted Requiem through Takeover Records.

2. Bracket is a hiphop duo from Nigeria. Yori Yori is a hit from their album Yori Yori. Yori Yori means happiness, it describes a positive feeling. <a href=""https://www.last.fm/music/Bracket"">Read more on Last.fm</a>",70440,806167,Frenzal Rhomb
The Decline,"For the French punk band, see The Decline!.

punk rock from Perth, Western Australia
The Decline are a 90s style skate punk band from Perth, Western Australia. They formed in 2006 are heavily influenced by the likes of Frenzal Rhomb, NOFX, Lagwagon, Descendents, Less Than Jake & Propagandhi.

OR

Hardcore from doylestown, PA

OR

punk band form Essex, UK

OR 

hardcore/punk band from Saskatoon, Canada <a href=""https://www.last.fm/music/The+Decline"">Read more on Last.fm</a>",20624,428791,Chaser
Strung Out,"
Strung Out is a punk rock band from Simi Valley, California, USA, formed in 1992. They are known mainly for their musical style, which fuses aspects of punk rock and metal to form their primary sound. They have released nine albums on Fat Wreck Chords and appeared on numerous compilations and skate/surf videos. They have played on the Warped Tour and continue to tour internationally.

The original lineup consisted of vocalist Jason Cruz, guitarists Jake Kiley and Rob Ramos, bassist Jim Cherry and drummer Adam Austin. <a href=""https://www.last.fm/music/Strung+Out"">Read more on Last.fm</a>",343324,9032652,Good Riddance
Satanic Surfers,"First off, some history: Satanic Surfers played a major part in the Swedish melodic punk explosion that took place in the mid nineties. Combining strong melodies and fast paced punk with both personal and political lyrics, the band soon reached audiences all over the world. Early influences include bands such as SNFU, RKL and The Misfits. The band was originally founded by Rodrigo and Erik in high school back in 1989 in Lund, Sweden. After having gone through the usual line-up changes during its formative years <a href=""https://www.last.fm/music/Satanic+Surfers"">Read more on Last.fm</a>",124931,2784048,No Fun at All
Los Chickléts," <a href=""https://www.last.fm/music/Los+Chickl%C3%A9ts"">Read more on Last.fm</a>",505,2100,Skapital Sound
Bite Me Bambi,"Hailing from Southern California, Bite Me Bambi brings sounds reminiscent of British 2 Tone and 3rd wave ska into the 21st century. With energetic songs and pedigree musicianship, BMB gets the crowd on their feet and dancing. Comprised of members from some of your favorite ska bands (My Superhero, Save Ferris, Starpool). This new group breathes fresh life to a genre that may have originated in Jamaica, and honed in Britain, but perfected in the haze, blight, glamour, and beauty of the Southland.

https://www.bitemebambi.com/ <a href=""https://www.last.fm/music/Bite+Me+Bambi"">Read more on Last.fm</a>",4743,63050,Backyard Superheroes
King Punch,"King Punch are a lively 7-piece ska-punk band hailing from London, England. Known for their energetic live shows, they are equally at home smashing together a blend of ska, punk, hard rock and swing in crushed London clubs or up on big festival stages - either way, everyone's going to be going home sweaty and happy. <a href=""https://www.last.fm/music/King+Punch"">Read more on Last.fm</a>",1046,10081,Hooray for Our Side
The Offenders,"1)  Italian 2Tone/Ska/Skinhead Reggae band formed in 2005 in Cosenza – Italy by vocalist/songwriter Valerio (as drummer in that time), The Offenders became popular in their local scene after the release of “Rudeboys In A Dancefloor” in February 2006. Many months later, their second single “Hooligan Reggae” gave them the chance to sign for the German label Conehead Records, on which they released their first full length in November 2007. <a href=""https://www.last.fm/music/The+Offenders"">Read more on Last.fm</a>",15550,274937,The Valkyrians
Das Lumpenpack," <a href=""https://www.last.fm/music/Das+Lumpenpack"">Read more on Last.fm</a>",30901,968987,Provinz
88 Fingers Louie,"88 Fingers Louie is a band from Chicago, Illinois which was formed in 1993. They play a style of hardcore punk, melodic hardcore, and punk rock. In 1993 they released their debut 7"", Go Away. They released several albums, their last effort being a split album with Kid Dynamite. After disbanding in 1999, members Joe Principe and Dan Wleklinski went on to form punk rock band Rise Against. Denis Buckley currently sings in melodic hardcore band Explode and Make Up.  <a href=""https://www.last.fm/music/88+Fingers+Louie"">Read more on Last.fm</a>",142544,2001548,Good Riddance
Kill Lincoln,"Kill Lincoln is a ska/punk band based in Washington, DC.  They have opened for such acts as Streetlight Manifesto, Westbound Train, Reel Big Fish, Less than Jake, Big D & The Kids Table, The Pietasters, The Slackers, and The Aggrolites. They look forward to playing your bar/basement/backyard in the future.  Current members include Mike Sosinski, Matt ""Food"" Ellis, Tyler Rodgers, Drew Skibitsky, Yasutaka Umemoto, CJ Uy <a href=""https://www.last.fm/music/Kill+Lincoln"">Read more on Last.fm</a>",21183,494734,We Are the Union
