Artista,Biografia,Listeners,Playcount,Artistas Similares
Masked Intruder,"Straight outa Rikers. Straight outa Cook County, straight outa that prison in Louisiana that everyone says is horrible, but I can’t be bothered to Google, it’s MASKED INTRUDER, four melodious felons in ski masks with rap sheets, matching converse and some of the catchiest tunes this side of Johnny Cash, Live in Folsom Prison, and they’re coming at you with their second full length, the semi eponymously titled M.I., scheduled to break out on Fat Wreck Chords on May 27, 2014.  <a href=""https://www.last.fm/music/Masked+Intruder"">Read more on Last.fm</a>",52944,1819495,Teenage Bottlerocket
La Fúmiga," <a href=""https://www.last.fm/music/La+F%C3%BAmiga"">Read more on Last.fm</a>",6441,248001,Figa Flawas
Лампасы,"Elysium-family band from Russia.

Positive, cool rock.

Discography:

2006 - ""Лампаццирия"" (Lampacciriya)
2005 - ""Нам нужны моря и океаны"" (Nam nuzni morya i okeani) (We need seas and oceans)
2004 - ""Элизиум Family"" (Elysium family)
2008 - ""Молодые Хулиганы"" (Molodie huligani) (Young hooligans)
2009 - ""Марафон""

 <a href=""https://www.last.fm/music/+noredirect/%D0%9B%D0%B0%D0%BC%D0%BF%D0%B0%D1%81%D1%8B"">Read more on Last.fm</a>",34138,859679,Ска'N'ворд
Los Enanitos Verdes,"The band started in 1984, with Marciano Cantero (bass guitar, keyboards and vocals), Felipe Staiti (guitar) and Daniel Piccolo drums. That same year, they performed throughout the Cuyo region. Later they traveled to Buenos Aires to record a demo, with unusable results that were never released. In spite of this failure, they continued doing shows in Mendoza and in Buenos Aires.

In 1984 the band added two new members: Sergio Embroni (guitar and vocals) and Tito Dávila (keyboard). <a href=""https://www.last.fm/music/+noredirect/Los+Enanitos+Verdes"">Read more on Last.fm</a>",241745,5046015,
The Bouncing Souls,"The Bouncing Souls is a punk band, formed in 1987. They are originally from New Brunswick, New Jersey. By the time they were recognized by the national punk scene, they had reignited a ""pogo"" element to New Jersey punk rock by playing fast light-hearted songs, a model followed by various other local bands (e.g. Blanks 77 and the Bristles). In the early stages of their career, they played a hybrid of punk, funk, metal, and just about anything else they felt like including. <a href=""https://www.last.fm/music/The+Bouncing+Souls"">Read more on Last.fm</a>",514043,14024854,Face to Face
Goldfinger,"
1) Goldfinger is a ska punk band formed in 1993 and named after the James Bond film. They were founded in California by John Feldmann on vocals and guitar, Simon Williams on bass,  ""Dangerous"" Darrin Pfeiffer on drums, and Charlie Paulson on guitar. 

Before they were signed to a major label, they released an EP titled Richter. Many of the songs on Richter are demo versions of songs on their full length debut, Goldfinger, which was released in 1996. <a href=""https://www.last.fm/music/Goldfinger"">Read more on Last.fm</a>",1035662,19577768,Less Than Jake
The Skints,"The Skints are a reggae/dub/punk fusion band from London, United Kingdom. Since 2008 the band have toured extensively, playing hundreds of shows, supporting bands that include Sublime with Rome, Less Than Jake, The Slackers, Gogol Bordello and Bedouin Soundclash.

http://en.wikipedia.org/wiki/The_Skints <a href=""https://www.last.fm/music/The+Skints"">Read more on Last.fm</a>",60037,1568305,Gentleman's Dub Club
Chaser,"There are multiple groups/artists using the name ""Chaser"" -

1) Chaser (USA)

Starting off in a drummer's garage in the fall of 2000, four kids from south Orange County, CA began to create the music that influenced their lives, namely fast paced Skate Punk. The band cite 90's Epitaph punk rock acts such as Bad Religion and Pennywise as huge musical influences.

2) Chaser (UK)

An alias of Lars Sandberg aka Funk D'Void.

3) Chaser (UK)

Electro/Rock band from Winchester <a href=""https://www.last.fm/music/Chaser"">Read more on Last.fm</a>",31028,274279,The Decline
get dead,"From San Francisco comes Get Dead.  Born out of several CA based acts in 2007, this five-piece was drawn together by their appeal to jaw-gnashing, punk infused rock and roll riffs.  With their driven, no frills approach to punk music and commitment to face-pealing shows, they have garnered a dedicated fan base that's eager for more. With three releases under their belt Get Dead is hitting the ground running and already have another acoustic record, and electric album in the works. <a href=""https://www.last.fm/music/get+dead"">Read more on Last.fm</a>",19650,513587,
Strike Anywhere,"Strike Anywhere is a melodic hardcore band from Richmond, Virginia. They formed in 1999 after the demise of frontman Thomas Barnett's previous band, Inquisition. Their music is characterized by fast tempos, catchy melodies, and socially conscious lyrics. They have released 4 full-length albums and are currently signed to Bridge Nine Records.

Strike Anywhere is a political band, with lyrics touching on such issues as police brutality, anarchism, anti-capitalism, women's rights, animal rights, and globalization. <a href=""https://www.last.fm/music/Strike+Anywhere"">Read more on Last.fm</a>",302672,7537015,Strung Out
We Are The Union,"We Are the Union is an American ska punk band formed in Detroit, Michigan in August 2005. According to the band they formed the band because they were unhappy with the current state of ska music. <a href=""https://www.last.fm/music/We+Are+The+Union"">Read more on Last.fm</a>",52278,1281395,
Death By Stereo,"Death By Stereo can refer to either one of the following bands:

1) Death By Stereo is a hardcore band. They were formed in 1996 in Orange County, California, with 5 members. Of these original members, only Efrem Schulz still plays with the band. Death By Stereo is well known for their energetic performances, and intricate guitar work.

The band was formed by Ian Fowles, Jarrod Alexander, Efrem Schulz, Paul Miner and Jim Miner out of were the remnants of Clint, CleanX and the D-Cons (their former bands). <a href=""https://www.last.fm/music/Death+By+Stereo"">Read more on Last.fm</a>",111845,2335171,Good Riddance
