Artista,Biografia,Listeners,Playcount,Artistas Similares
Klur," <a href=""https://www.last.fm/music/Klur"">Read more on Last.fm</a>",84346,578731,Polar Inc.
Marcus Schössow,"The youngest legend in the business, South Swedish-born redhead Marcus Schössow was a pioneer in mixing house with trance and thus creating the dominating sound in EDM today (sadly). Since then he has continued to develop his act and has single handedly created something that all producers thrive for – a distinguished and recognizable, unique sound. A professional DJ since his teens Marcus has had a strong career for the last ten years including highlights like his legendary beef with Deadmau5 <a href=""https://www.last.fm/music/+noredirect/Marcus+Sch%C3%B6ssow"">Read more on Last.fm</a>",62475,275383,Marcus Schossow
Solardo,"Hailing from Manchester, production duo Mark Richards & James Eliot, collectively known as Solardo, are continuing the city’s rich heritage in house music.The prolific duo’s meteoric rise is testament to their hard work in the studio and their infectious energy in the club. A slew of releases via imprints like Viva, and elrow helped rocket them to their first Beatport Number 1 with their breakthrough record on Hot Creations, ‘Tribesmen’. Since then <a href=""https://www.last.fm/music/Solardo"">Read more on Last.fm</a>",107112,713542,Mark Knight
joseph ray,"joseph ray is a deep house  artist from the UK <a href=""https://www.last.fm/music/joseph+ray"">Read more on Last.fm</a>",18608,140713,Marsh
Habstrakt,"Coming from the South of France, Adam a.k.a Habstrakt was a guitar and keys player before turning his mind onto samplers and grooveboxes very early. He first got into Trip Hop and also wrote music for movies & even theater, but in 2008 he discovered dubstep and drum n bass music, and immediately got involved in production and DJ'ing.

Four years later his tracks are welcomed by many established labels such as Buygore and Never Say Die. Those releases <a href=""https://www.last.fm/music/Habstrakt"">Read more on Last.fm</a>",141061,1471369,JOYRYDE
Sasha,"There are currently several artists using the name Sasha:

1) Sasha, born Alexander Coe (born September 4, 1969), is a Welsh DJ and record producer. Late Night Tales Presents Sasha: Scene Delete was released in April 2016. He is also known for partnering with English DJ, John Digweed, as Sasha + Digweed. The pair released several mix albums together, including the Northern Exposure series (released between 1996 and 2001). They also released one of the all time best selling mix albums, The Renaissance Mix Collection part 1, in 1994. <a href=""https://www.last.fm/music/Sasha"">Read more on Last.fm</a>",469140,4818198,John Digweed
ArtLec," <a href=""https://www.last.fm/music/ArtLec"">Read more on Last.fm</a>",19835,115847,Meynberg
PROFF,"Real Name: Vladimir Ershov (Владимир Ершов) is a progressive house DJ & producer from Moscow, Russia signed to a UK record label Anjunabeats/Anjunadeep.

PROFF's earlier releases include ""My Personal Summer"" which was featured on CD1 of Anjunabeats Vol.6 and ""Aguilas"" which has been played lately in numerous Above & Beyond dj sets and podcasts. 

He collaborated with his fellow countryman, Mango, to release the track ""5th in Blue"", which had two separate remixes from both artists. <a href=""https://www.last.fm/music/PROFF"">Read more on Last.fm</a>",63383,527838,Jaytech
A-Mase,"A-Mase AKA Samwell Shamoyan is a sound producer and DJ from Russia. The first release ""Emotions & Dreams"" (2011) has already become a classic of atmobreaks music. He confidently declared himself in 2013, when his Remix of the Rave Channel project was released by Armada Records. At the same time, Russian dance music guru Vladimir Fonarev began supporting A-Mase music in his radio shows - and not without success, since almost every track becomes the best track of the program <a href=""https://www.last.fm/music/A-Mase"">Read more on Last.fm</a>",8590,81252,Rick Tedesco
Midland,"Midland is the name of more than one artist:
1)  Country music group from Dripping Springs Texas.
2)  Harry Agius, DJ, Producer and record label owner from London, UK. 

1) Midland is a country music group formed in 2014 in Dripping Springs, Texas. They have released three studio albums, On the Rocks, Let It Roll and The Last Resort: Greetings From, which have accounted for seven charted singles on the Billboard country chart: ""Drinkin' Problem"", Burn Out"", ""Make a Little"", ""Mr. <a href=""https://www.last.fm/music/Midland"">Read more on Last.fm</a>",230475,3853744,Floating Points
Lane 8,"San Francisco-based house producer Lane 8 (real name: Daniel Goldstein) made quite a splash when The Magician played his debut single, “Don’t Want You Back”, in the 23rd installment of the wildly popular Magic Tape series. The follow-up single, titled ‘Dusty’, surpassed all expectations, racking up diverse DJ support from the UK’s Jody Wisternoff and Kidnap Kid to California’s Viceroy and Geisha Twins. From there, a 3-track EP, reworks of Fleetwood Mac and Brandy <a href=""https://www.last.fm/music/Lane+8"">Read more on Last.fm</a>",324909,7432148,Le Youth
Alex Breitling," <a href=""https://www.last.fm/music/Alex+Breitling"">Read more on Last.fm</a>",17749,72029,L.GU.
