canciones,artistas,género,tipo,año lanzamiento
Shut up My Moms Calling,Hotel Ugly,Pop,track,2020
Heartless (feat. Morgan Wallen),Diplo,Pop,track,2020
Blinding Lights,The Weeknd,Pop,track,2020
august,Taylor Swift,Pop,track,2020
Heat Waves,Glass Animals,Pop,track,2020
Romantic Lover,Eyedress,Pop,track,2020
cardigan,Taylor Swift,Pop,track,2020
telepatía,Kali Uchis,Pop,track,2020
anything,Adrianne Lenker,Pop,track,2020
Maine,Noah Kahan,Pop,track,2020
Heather,Conan Gray,Pop,track,2020
Save Your Tears,The Weeknd,Pop,track,2020
Mirage,Orion Sun,Pop,track,2020
The Thrill,Wiz Khalifa,Pop,track,2020
Don't Start Now,Dua Lipa,Pop,track,2020
"not a lot, just forever",Adrianne Lenker,Pop,track,2020
Sweet but Psycho,Ava Max,Pop,track,2020
Chicago Freestyle (feat. Giveon),Drake,Pop,track,2020
forwards beckon rebound,Adrianne Lenker,Pop,track,2020
Levitating (feat. DaBaby),Dua Lipa,Pop,track,2020
Broke In A Minute,Tory Lanez,Pop,track,2020
half return,Adrianne Lenker,Pop,track,2020
Lemonade (feat. NAV),Internet Money,Pop,track,2020
Steeeam,Shelly,Pop,track,2020
Body Like A Back Road,Sam Hunt,Pop,track,2020
Heartless,The Weeknd,Pop,track,2020
WHATS POPPIN,Jack Harlow,Pop,track,2020
seasons,wave to earth,Pop,track,2020
Pain 1993 (with Playboi Carti),Drake,Pop,track,2020
Maniac,Conan Gray,Pop,track,2020
illicit affairs,Taylor Swift,Pop,track,2020
Love Me Anyway,Chappell Roan,Pop,track,2020
Figure You Out,VOILÀ,Pop,track,2020
Glue Myself Shut,Noah Kahan,Pop,track,2020
Good Days,SZA,Pop,track,2020
Teeth,5 Seconds of Summer,Pop,track,2020
GIVE HEAVEN SOME HELL,HARDY,Pop,track,2020
Why,Dominic Fike,Pop,track,2020
Pieces,Muscadine Bloodline,Pop,track,2020
the 1,Taylor Swift,Pop,track,2020
Not You Too (feat. Chris Brown),Drake,Pop,track,2020
Dile a El,Rauw Alejandro,Pop,track,2020
my ex's best friend (with blackbear),mgk,Pop,track,2020
I Know The End,Phoebe Bridgers,Pop,track,2020
After Hours,The Weeknd,Pop,track,2020
Thinking 'Bout Love,Wild Rivers,Pop,track,2020
invisible string,Taylor Swift,Pop,track,2020
Pretty Boy,The Neighbourhood,Pop,track,2020
hot girl bummer,blackbear,Pop,track,2020
Good Die Young,Koe Wetzel,Pop,track,2020
positions,Ariana Grande,Pop,track,2020
Kings & Queens,Ava Max,Pop,track,2020
Save Me,Jelly Roll,Pop,track,2020
Laugh Now Cry Later (feat. Lil Durk),Drake,Pop,track,2020
this is me trying,Taylor Swift,Pop,track,2020
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,Pop,track,2020
Without Me,Halsey,Pop,track,2020
Honeypie,JAWNY,Pop,track,2020
Intolewd,Matt Maltese,Pop,track,2020
Angels Like You,Miley Cyrus,Pop,track,2020
Meet Me At Our Spot,THE ANXIETY,Pop,track,2020
Cloud 9,Beach Bunny,Pop,track,2020
willow,Taylor Swift,Pop,track,2020
Time Flies,Drake,Pop,track,2020
Hate Me,Ellie Goulding,Pop,track,2020
Free Mind,Tems,Pop,track,2020
Lose You To Love Me,Selena Gomez,Pop,track,2020
Higher Love,Kygo,Pop,track,2020
Hawái,Maluma,Pop,track,2020
Higher,Tems,Pop,track,2020
mirrorball,Taylor Swift,Pop,track,2020
The Cut That Always Bleeds,Conan Gray,Pop,track,2020
Bottle and Mary Jane,Jelly Roll,Pop,track,2020
that way,Tate McRae,Pop,track,2020
Dancing With A Stranger (with Normani),Sam Smith,Pop,track,2020
ROCKSTAR (feat. Roddy Ricch),DaBaby,Pop,track,2020
If You Love Her,Forest Blakk,Pop,track,2020
Dynamite,BTS,Pop,track,2020
Monsters (feat. blackbear),All Time Low,Pop,track,2020
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Pop,track,2020
Boss Bitch,Doja Cat,Pop,track,2020
Drunk Driving,Koe Wetzel,Pop,track,2020
Moon Song,Phoebe Bridgers,Pop,track,2020
Stuck with U (with Justin Bieber),Ariana Grande,Pop,track,2020
Levitating,Dua Lipa,Pop,track,2020
Rät,Penelope Scott,Pop,track,2020
34+35,Ariana Grande,Pop,track,2020
Intentions (feat. Quavo),Justin Bieber,Pop,track,2020
betty,Taylor Swift,Pop,track,2020
No Time To Die,Billie Eilish,Pop,track,2020
Eenie Meenie,Sean Kingston,Pop,track,2020
Met the Devil in Oklahoma,Josh Meloy,Pop,track,2020
Dicked Down in Dallas,Trey Lewis,Pop,track,2020
Essence (feat. Tems),Wizkid,Pop,track,2020
Creature,Jelly Roll,Pop,track,2020
pov,Ariana Grande,Pop,track,2020
Toxic,Kehlani,Pop,track,2020
seven,Taylor Swift,Pop,track,2020
Physical,Dua Lipa,Pop,track,2020
Ashes,Stellar,Pop,track,2020
Animal,Sir Chloe,Pop,track,2020
Michelle,Sir Chloe,Pop,track,2020
In Your Eyes,The Weeknd,Pop,track,2020
Sanctuary,Joji,Pop,track,2020
motive (with Doja Cat),Ariana Grande,Pop,track,2020
Remember That Night?,Sara Kays,Pop,track,2020
Still With You,Jung Kook,Pop,track,2020
Head & Heart (feat. MNEK),Joel Corry,Pop,track,2020
Break My Heart,Dua Lipa,Pop,track,2020
