artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
The Beatles,United Kingdom,Liverpool,1960,activo
The Weeknd,Canada,Scarborough,1990,activo
Wande Coal,Nigeria,Lagos,1985,activo
Sub Urban,New Jersey,New Jersey,no data,activo
Freak Slug,United Kingdom,no data,no data,activo
Jessie Reyez,Canada,Toronto,1991,activo
Lady Gaga,United States,Upper East Side,1986,activo
Sam Cooke,United States,Clarksdale,1931,activo
Jack Harlow,United States,Louisville,1998,activo
Melanie Martinez,United States,Astoria,1995,activo
Duomo,no data,no data,no data,activo
Khaled,Algeria,Oran,1960,activo
Reik,Mexico,Mexicali,2003,activo
Scott Lawlor,United States,no data,no data,activo
Snoop Dogg,United States,Long Beach,1971,activo
Kai Meyer,Germany,Lübeck,1969,activo
iyla,United States,Los Angeles,1993,activo
Spencer Crandall,Nashville,no data,no data,activo
Cigarettes After Sex,United States,El Paso,2008,activo
Eyedress,Philippines,Manila,1990,activo
Fiona Apple,United States,Manhattan,1977,activo
Stefan Wolf,Germany,Nordhausen,1938,activo
wave to earth,South Korea,Seoul,2019,activo
All Time Low,United States,Baltimore,2003,activo
Olivia Rodrigo,United States,Murrieta,2003,activo
Manuel Turizo,Colombia,Córdoba,2000,activo
Gerry Mulligan,United States,Queens,1927,activo
Forest Blakk,Canada,Montréal,1996,activo
Livingston Taylor,United States,Boston,1950,activo
VOILÀ,United States,Los Angeles,2018,activo
Taylor Swift,United States,West Reading,1989,activo
Duke Dumont,United Kingdom,Harrow,1982,activo
Megan Thee Stallion,United States,San Antonio,1995,activo
Rauw Alejandro,Puerto Rico,San Juan,1993,activo
Jerry Lee Lewis,United States,Ferriday,1935,activo
Justin Bieber,Canada,London,1994,activo
Magdalena Bay,United States,Los Angeles,2016,activo
Internet Money,no data,no data,no data,activo
Willie Nelson,United States,Abbott,1933,activo
Shelly Manne,United States,New York,1920,activo
Tate McRae,Canada,Calgary,2003,activo
Ian Munsick,no data,no data,no data,activo
Diana Ross,United States,Detroit,1944,activo
Dua Lipa,England,London,1995,activo
Ingrid Andress,United States,Southfield,1991,activo
BabyJake,United States,Fort Myers,no data,activo
Ellie Goulding,United Kingdom,Hereford,1986,activo
Adrianne Lenker,United States,Indianapolis,1991,activo
Switch,United Kingdom,London,no data,activo
Maluma,Colombia,Medellín,1994,activo
twocolors,Berlin,no data,no data,activo
Billy Joel,United States,The Bronx,1949,activo
Phoebe Bridgers,United States,Pasadena,1994,activo
Stray Kids,South Korea,Seoul,2017,activo
The Church Will Sing,no data,no data,no data,activo
Sara Kays,United States,Indiana,1999,activo
Dominic Fike,Florida,Naples,1995,activo
Abbey Lincoln,United States,Chicago,1930,activo
Charli xcx,England,Cambridge,1992,activo
Rivers Cuomo,United States,Manhattan,1970,activo
Camilo Sesto,Spain,Alcoi,1946,activo
IU,South Korea,Seoul,1993,activo
Thin Lizzy,Ireland,Dublin,1969,activo
Bruno Coulais,France,Paris,1954,activo
Ty Dolla $ign,United States,Los Angeles,1985,activo
TWICE,South Korea,Seoul,2015,activo
Leanna Crawford,Stanwood,no data,1995,activo
Benjamin Britten,United Kingdom,Lowestoft,1913,activo
Selena Gomez,United States,Grand Prairie,1992,activo
Zoe Wees,Germany,Hamburg,2002,activo
Calvin Harris,Scotland,Dumfries,1984,activo
Aly & AJ,United States,Torrance,2002,activo
Alex North,United States,Chester,1910,activo
Sam Smith,United Kingdom,London,1992,activo
Sean Kingston,Jamaica,Miami,1990,activo
Wiz Khalifa,United States,Minot,1987,activo
ROSALÍA,Spain,Sant Esteve Sesrovires,1992,activo
Big Sean,United States,Santa Monica,1988,activo
TOMORROW X TOGETHER,South Korea,Seoul,2019,activo
ITZY,South Korea,Seoul,2019,activo
Matt Hartke,no data,no data,no data,activo
Marshmello,United States,Philadelphia,1992,activo
Sech,Panama,Colón,1993,activo
Boza,Panama,Ciudad de Panamá,1997,activo
DaBaby,United States,Cleveland,1991,activo
ROLE MODEL,United States,no data,1997,activo
Duncan Laurence,Netherlands,Spijkenisse,1994,activo
ILLENIUM,United States,Chicago,1990,activo
Ariana Grande,United States,Boca Raton,1993,activo
Ovy on the Drums,Colombia,no data,no data,activo
Maxine Nightingale,United Kingdom,Wembley,1952,activo
UPSAHL,United States,Phoenix,1998,activo
Chri$tian Gate$,United States,no data,no data,activo
BTS,South Korea,Seoul,2013,activo
Khalid,United States,Fort Stewart,1998,activo
Noah Kahan,United States,Strafford,1997,activo
Doja Cat,United States,Tarzana,1995,activo
The Beach Boys,United States,Hawthorne,1961,activo
Josh Meloy,no data,no data,no data,activo
Tems,Nigeria,Lagos,1995,activo
Stellar*,New Zealand,Auckland,1994,activo
