artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Sole,United States,Portland,1977-09-25,activo
Neil Young,Canada,Toronto,1945-11-12,activo
Emmit Fenn,United States,Berkeley,no data,activo
Vicetone,Groningen,Groningen,2012,activo
Rampa,no data,no data,no data,activo
Borgeous,United States,Miami,no data,activo
NOTION,Bristol,no data,no data,activo
Dzeko,Canada,Toronto,1992-05-03,activo
Zwette,Germany,no data,no data,activo
ARIA,Chile,Chile,2010,activo
deadmau5,Canada,Niagara Falls,1981-01-05,activo
Klingande,France,Croix,2012-12,activo
Sneaky Sound System,Australia,no data,2001,activo
Matt Fax,France,no data,no data,activo
Monolink,Germany,no data,1989,activo
MK,United States,Detroit,1972-08-03,activo
Enamour,United States,no data,no data,activo
Mr. Belt & Wezol,Netherlands,no data,no data,activo
Felon,United Kingdom,no data,no data,activo
MANT,no data,no data,no data,activo
Jefferson Airplane,United States,San Francisco,1965,activo
W&W,Netherlands,Mexico,2007,activo
Pegboard Nerds,Denmark,no data,2012,activo
Phil Fuldner,Germany,Marl,1973-08-02,activo
Pink Floyd,England,London,1965,activo
Boombox Cartel,United States,Monterrey,2012,activo
Taiki Nulight,United Kingdom,no data,no data,activo
Feed Me,United Kingdom,Hertfordshire,1984-08-22,activo
Gareth Emery,United Kingdom,Southampton,1980-07-18,activo
David Nathan,Germany,Berlin,1971-03-16,activo
Chris Rea,United Kingdom,Middlesbrough,1951-03-04,activo
Dr. Fresch,United States,no data,no data,activo
Syence,no data,no data,no data,activo
[no artist],no data,no data,no data,activo
Seven Lions,United States,Santa Barbara,1987-03-31,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Folamour,France,Lyon,no data,activo
Louis Jordan,United States,Brinkley,1908-07-08,activo
Sebjak,no data,no data,no data,activo
Alan Silvestri,United States,New York,1950-03-26,activo
Peggy Lee,United States,Jamestown,1920-05-26,activo
Diplo,United States,Tupelo,1978-11-10,activo
NTO,France,Marseille,1985,activo
Drezo,California,no data,no data,activo
Kaskade,United States,Chicago,1971-02-25,activo
Deorro,Los Angeles,Ciudad de México,1991-08-30,activo
Cult Member,Québec City,no data,no data,activo
Koni,Germany,no data,no data,activo
no data,no data,no data,no data,no data
Dom Dolla,Australia,no data,no data,activo
Adventure Club,Canada,Montréal,2011,activo
Purple Disco Machine,Germany,Dresden,1980-02-12,activo
Danger Danger,United States,Queens,1987,activo
Noizu,Los Angeles,no data,no data,activo
Lucas & Steve,no data,Maastricht,2010,activo
i_o,United States,Richmond,1990-05-16,activo
Bali Bandits,no data,no data,no data,activo
ZHU,United States,San Francisco,1989-04-28,activo
SAINt JHN,Guyana,Brooklyn,1986-08-26,activo
Malaa,France,Paris,no data,activo
Just a Gent,Australia,no data,no data,activo
Ghastly,Finland,Tampere,2011,activo
Besomorph,United States,Germany,1997,activo
Duke Dumont,United Kingdom,Harrow,1982-08-27,activo
MOTi,Netherlands,no data,no data,activo
Alesso,Sweden,Stockholm,1991-07-07,activo
Benny Benassi,Italy,Reggio Emilia,1967-07-13,activo
Mord Fustang,Estonia,Tallinn,1991-02-21,activo
Gamper & Dadoni,Germany,Hamburg,no data,activo
Anderholm,Lutsk,no data,no data,activo
R3HAB,Netherlands,Breda,1986-04-02,activo
Bob Dylan,United States,Duluth,1941-05-24,activo
Rootkit,Norway,no data,1997-09-17,activo
Y.V.E. 48,Germany,no data,no data,activo
Chaka Khan,United States,Chicago,1953-03-23,activo
Kid Vinil,Brazil,Cedral,1955-03-10,activo
Patrick Rothfuss,United States,Madison,1973-06-06,activo
Armin van Buuren,Netherlands,Leiden,1976-12-25,activo
James Brown,United States,Barnwell,1933-05-03,activo
Leftwing : Kody,London,no data,no data,activo
