artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Leaving Laurel,United States,Hollywood Hills,2019,activo
Nitti,United States,Decatur,no data,activo
Shoby,no data,no data,no data,activo
VIZE,Germany,Berlin,2018,activo
ATFC,United Kingdom,no data,no data,activo
Inna,Romania,Constanța,1986-10-16,activo
Matveï,no data,no data,no data,activo
Dario G,United Kingdom,Crewe,1996,activo
KC Lights,United Kingdom,no data,no data,activo
John Williams,United States,Flushing,1932-02-08,activo
Sam Feldt,Netherlands,Amsterdam,1993-08-01,activo
Melosense,Greece,no data,no data,activo
Ekali,Vancouver,Vancouver,1991-09-22,activo
Panda,Mexico,Monterrey,1996,activo
Sammy Virji,United Kingdom,Oxford,no data,activo
John Williams,United States,Flushing,1932-02-08,activo
Offmind,no data,no data,no data,activo
JLV,Utrecht,no data,no data,activo
Paratone,no data,no data,no data,activo
Angara,Paris,no data,no data,activo
Becky Hill,United Kingdom,Bewdley,1994-02-14,activo
Nils Hoffmann,Germany,no data,no data,activo
BUNT,Germany,no data,no data,activo
Yaeji,United States,Flushing,1993-08-06,activo
Borgore,Israel,Tel Aviv,1987-10-20,activo
ARTY,Russia,Engels,1989-09-28,activo
Madeon,France,Nantes,1994-05-30,activo
India Fisher,United Kingdom,Stoke-on-Trent,1974-09-10,activo
Marnik,Italy,Milano,no data,activo
Kayzo,Los Angeles,no data,1991-08-08,activo
Kevin McKay,United Kingdom,no data,no data,activo
Zonderling,Netherlands,no data,no data,activo
Joris Voorn,Netherlands,Moergestel,1977-02-25,activo
Disco Lines,no data,no data,no data,activo
Tiësto,Netherlands,Breda,1969-01-17,activo
Matroda,no data,no data,no data,activo
Fred again..,United Kingdom,United Kingdom,1994,activo
Marshmello,United States,Philadelphia,1992-05-19,activo
Perry Como,United States,Canonsburg,1912-05-18,activo
Blue Öyster Cult,United States,Stony Brook,1967,activo
Diana Ross,United States,Detroit,1944-03-26,activo
Nox Vahn,United States,no data,no data,activo
HVME,Spain,Spain,no data,activo
Nora Van Elken,no data,no data,no data,activo
Nora en Pure,Switzerland,Johannesburg,1990-07-20,activo
Howard Carpendale,Germany,Durban,1946-01-14,activo
REZZ,Canada,Ukraine,1995-03-28,activo
Huts,Valle de Trápaga-Trapagaran,no data,2015,activo
Dimitri Vangelis & Wyman,Sweden,no data,no data,activo
Marten Hørger,Germany,no data,no data,activo
Disclosure,United Kingdom,Reigate,2010,activo
iwilldiehere,Moscow,no data,no data,activo
Grateful Dead,United States,Palo Alto,1965,activo
Tchami,France,no data,no data,activo
TCTS,United Kingdom,no data,no data,activo
Paul McCartney,United Kingdom,Walton,1942-06-18,activo
Quintino,Netherlands,no data,1985-09-21,activo
K‐391,Norway,Bamble,1994-11-02,activo
SIDEPIECE,no data,no data,no data,activo
Soda Stereo,Argentina,Buenos Aires,1983,activo
Calvin Harris,Scotland,Dumfries,1984-01-17,activo
Above & Beyond,United Kingdom,United Kingdom,2000,activo
Suzanne Vega,United States,Santa Monica,1959-07-11,activo
cub,Canada,Vancouver,1992,activo
Bakermat,Netherlands,Utrecht,1991-10-08,activo
Kidnap,United Kingdom,no data,no data,activo
Rosbeh,Germany,no data,no data,activo
Chris Stussy,Netherlands,no data,no data,activo
Sultan + Shepard,Canada,Montréal,no data,activo
Zero‐G,United Kingdom,no data,1990,activo
Kygo,Norway,Singapore,1991-09-11,activo
Breakbot,France,Yvelines,1981-10-05,activo
OTR,Atlanta,no data,no data,activo
Lost Frequencies,Belgium,Brussels,1993-11-30,activo
Alan Fitzpatrick,United Kingdom,no data,no data,activo
Boris Brejcha,Germany,Ludwigshafen,1981-11-26,activo
Falden,no data,no data,no data,activo
