Artista,Biografia,Listeners,Playcount,Artistas Similares
Sole Sole," <a href=""https://www.last.fm/music/Sole+Sole"">Read more on Last.fm</a>",39039,244388,Tomas Skyldeberg
Danko,"There are at least four artists performing under the name Danko:

1. Danko (a.k.a. Samuel Gori), is a 16 year old producer from the north of ltaly. He started his musical career playing the piano he received from his parents when he turned six. Since his early days, Samuel could spend entire days listening to Pop classics from Michael Jackson to Jamiroquai with his father. Those are the first steps to Danko's inspirations as an artist.

Discovering a passion for electronic music in his teenaged years <a href=""https://www.last.fm/music/Danko"">Read more on Last.fm</a>",39931,244421,Madison Mars
Sander Van Doorn,"Thought to be a technical and musical genius by many, Sander van Doorn is without a doubt one of the world’s most essential, influential and popular DJ/Producers in dance music today. Sander has become synonymous with excellence – both production wise and in front of the thousands he plays to, nightly. He is truly one of the strongholds in dance music. A generation defining artist, that reshapes our perception of what dance music can be and he does it all with that electrifying Sander van Doorn-smile. <a href=""https://www.last.fm/music/Sander+Van+Doorn"">Read more on Last.fm</a>",410891,3743845,
Emmit Fenn,"Raised in Berkeley, California, Emmit Fenn is a singer, songwriter, and producer of offbeat, cinematic soundscapes in the realm of indie electronica. Fenn first turned to the piano and composing at the age of 12 as a means of distraction when his parents separated. He later picked up the guitar and violin and went on to study composition and music theory. He was in college when his single ""Painting Grey,"" released in 2015, became a viral hit, accumulating millions of plays. <a href=""https://www.last.fm/music/Emmit+Fenn"">Read more on Last.fm</a>",382721,3981807,Elderbrook
Ummet Ozcan,"Ummet Ozcan iUmmet Ozcan, originally from Turkish descent but rooted in The Netherlands, is best known for the production of grand Trance records. His releases can mostly be found in the highest regions of the Beatport trance charts and are supported by A-list DJs like Sander van Doorn, Armin van Buuren, Tiësto and Markus Schulz. Hits include 'TimeWave Zero¹ (Doorn Records), Arcadia (Doorn Records), Shamballa (Reset) and many more. Ummet is also <a href=""https://www.last.fm/music/Ummet+Ozcan"">Read more on Last.fm</a>",228663,2175041,NWYR
