Artista,Biografia,Listeners,Playcount,Artistas Similares
Rudimental,"
Rudimental are an east London (UK) music quartet, comprising the songwriters and producers Piers Agget, Kesi Dryden and Amir Amor, together with DJ Locksmith. 

They have stated that they are on a mission to bring back soul into electronic music, and are quoted as saying: “We aren’t just electronic bedroom producers, and we’re not just guitarists and pianists who don’t know much about making a beat”.  They grew up on everything from grime to jazz and blues <a href=""https://www.last.fm/music/Rudimental"">Read more on Last.fm</a>",1114186,19395039,Sigma
Gallant,"Christopher Gallant (born 1992), better known by his last name simply as Gallant, is an American singer-songwriter from Columbia, Maryland. In 2014, he self-released his debut EP Zebra, which he describes as ""a sonic diary about dealing with the aftermath of New York"" and was noted in 2015 for his single ""Weight in Gold"". He is signed to the indie record label Mind of a Genius. 

In the fall of 2013, Gallant moved to Los Angeles, California to work on a career in music.  His debut full LP record Ology was released on April 6, 2016. <a href=""https://www.last.fm/music/Gallant"">Read more on Last.fm</a>",348458,4736059,dvsn
JZAC," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>",33910,292573,Chris Webby
Leon Jaar," <a href=""https://www.last.fm/music/Leon+Jaar"">Read more on Last.fm</a>",1634,9584,Danny Joseph
Shaed,"Shaed (stylized SHAED, pronounced ""shade"") is an American indie pop trio based in Washington, D.C. The group was formed in 2011 and features Chelsea Lee as the lead vocalist, while both Max and Spencer Ernst contributes on keyboards, drums, guitars, and vocals. 

The Ernst twins, Max and Spencer, grew up in Silver Spring, Maryland, and displayed a passion for music from an early age. They formed a rock band called Upslide during middle school and performed locally in the Washington, D. <a href=""https://www.last.fm/music/Shaed"">Read more on Last.fm</a>",433980,3895101,Winona Oak
Sabrina Carpenter,"Sabrina Annlynn Carpenter (born May 11, 1999) is an American singer and actress. She first gained recognition starring on the Disney Channel series Girl Meets World (2014-2017) and signed with Hollywood Records. She released her debut single, ""Can't Blame a Girl for Trying"", in 2014, followed by four studio albums: Eyes Wide Open (2015), EVOLution (2016), Singular Act I (2018) and Singular Act II (2019); three of her singles — ""Alien"",  ""Almost Love"" and ""Sue Me"" — topped the US Dance Club Songs. <a href=""https://www.last.fm/music/Sabrina+Carpenter"">Read more on Last.fm</a>",2156888,255509165,Taylor Swift
BRUHMANEGOD," <a href=""https://www.last.fm/music/BRUHMANEGOD"">Read more on Last.fm</a>",28651,785166,Afourteen
Nico Santos,"Nico Santos (born Nico Wellenbrink in Bremen on January 7, 1993) is a German singer-songwriter who has been successful with songs like Home (with Topic), Rooftop and Safe since 2016. As a co-author, he was involved in titles on Bushido's and Shindy's album Cla$$ic, Mark Forster's single Wir sind Groß and Helene Fischer's single Achterbahn.

Private Life
He was born in 1993 in Bremen as the son of Egon and Lisa Wellenbrink. His sister from his father's first marriage, Susanna and her daughter Mia-Sophie work as actresses. <a href=""https://www.last.fm/music/Nico+Santos"">Read more on Last.fm</a>",103519,1332399,Michael Schulte
Alesso,"Alessandro Renato Rodolfo Lindblad, professionally known as Alesso, is a Swedish DJ and record producer.

He has performed at numerous music festivals, including Coachella, Electric Daisy Carnival, Creamfields and Tomorrowland. In 2012, MTV named Alesso one of the ""EDM Rookies to Watch"".

He was ranked 13th on DJ Magazine's 2015 list of the top 100 DJs and number 20th in year 2016 on DJ Magazine among the list of Top 100 DJs in the world. His debut full-length album Forever was released on May 22, 2015 by Def Jam Recordings. <a href=""https://www.last.fm/music/Alesso"">Read more on Last.fm</a>",1219866,19295833,Martin Garrix
20/20,"20/20 was formed in Tulsa, OK by high school friends Steve Allen (guitar, vocals) and Ron Flynt (bass, vocals). They're known today as a popular power pop band, preceding as well as being a part of the late 70s power pop boom among bands such as Cheap Trick, The Knack, and The Records. Tracks ""Cheri"" and ""Yellow Pills"" have been included in several multi-artist power pop collections, with the 'Yellow Pills' title becoming a sort of underground shorthand for the scene. <a href=""https://www.last.fm/music/20%2F20"">Read more on Last.fm</a>",19988,177852,Shoes
