Artista,Biografia,Listeners,Playcount,Artistas Similares
Disclosure,"Disclosure are Guy Lawrence and Howard Lawrence, brothers from Surrey, United Kingdom. Crafting their own lo-fi dream-dub sound, Disclosure effortlessly combine 2-step garage rhythms and dubstep basslines with their own rich musical heritage of soul, jazz and 90s hip hop. After their debut single on Moshi-Moshi Records in September 2010, the duo released a 4 track EP on Transparent Records the year after. 2012 saw the release of ""Tenderly/Flow"" and ""The Face"" EP on Greco-Roman. <a href=""https://www.last.fm/music/Disclosure"">Read more on Last.fm</a>",1962516,60663781,AlunaGeorge
J. Worra,"Classic house meets new school tech with Native Chicagoan now Los Angeles-based DJ and producer Jamie Sitter, a.k.a. “ J. Worra ”. Best known for her creativity as a producer and skills behind the decks, she brings an inimitable swagger and technical prowess to dance music’s underground scene, lending these unique skills to every venture of her life spanning music, fashion, and art.

Hailed as DJ Mag’s 2019 Breakthrough Music Producer of the Year <a href=""https://www.last.fm/music/J.+Worra"">Read more on Last.fm</a>",137159,944952,Sidepiece
DREZO,"Based in Los Angeles, Drezo is no outsider to the underground sound that is currently sweeping across the restless west coast city. Through his compositions and remixes, the 23 year old aims to represent the darker and more imaginative side of house music. Using influences from the LA scene has shaped this young artist’s music into a surge of haunting originality that is instantly recognizable. Currently being championed by some of the main tastemakers in the game <a href=""https://www.last.fm/music/DREZO"">Read more on Last.fm</a>",29721,205252,BROHUG
Ranger Trucco,"Ranger Trucco is one of house music’s fastest-rising talents. Combining effortless lyricism with infectious basslines, he wasted zero time cultivating a truly unique sound that resonates with electronic music fans globally. 

Both producer & vocalist - Ranger refused to let growing up 4 hours north of the nearest nightlife impede his plans of a future completely immersed in dance music culture. 

With performances at festivals and clubs nationwide on the horizon, it’s only up from here. <a href=""https://www.last.fm/music/Ranger+Trucco"">Read more on Last.fm</a>",15381,92375,Kyle Walker
Weiss,"There are at least three artists named Weiss:

1. WEISS, real name Richard Dinsdale, is a UK-based house music producer and DJ. In 2018, he had his first successful single ‘Feel My Needs’ that went on to become a Silver certified record in the UK. WEISS then signed a record deal with Island Records in the UK[1] and followed that up with a collaboration with Becky Hill ‘I Could Get Used to This’ which went on to become Gold certified. In 2020, he released ‘First Sight’ and ‘Where Do We Go’. <a href=""https://www.last.fm/music/Weiss"">Read more on Last.fm</a>",163074,1195039,Rachel Row
Markus Schulz,"Markus Schulz is a German progressive trance producer renowned for his unique style of dark, brooding yet melodic productions and DJ sets. He is head of his own label Coldharbour Recordings in co-operation with Armada and he is infamous for surprising his fans with his own edits and reconstructions of well-known songs. He is currently living in Miami, Florida

-------------------

Markus Schulz is a man on a mission. He dreams of meeting the world. <a href=""https://www.last.fm/music/Markus+Schulz"">Read more on Last.fm</a>",359183,4956653,Andrew Rayel
Dombresky,"Although he hails from the south of France, Dombresky’s penchant for invigorating four- on-the-floor beats is pure house bliss. 

The DJ and producer burst onto the scene in 2016 when he arrived in Miami as Quentin Dombres, a then-unknown talent with an impressive roster of funky, feel-good tracks. Today he has become inextricably linked with industry heavyweights including Blondish, Armand van Helden, Diplo, Claptone, and MK, all of whom supported Dombresky’s early career endeavors as collaborators.  <a href=""https://www.last.fm/music/Dombresky"">Read more on Last.fm</a>",148582,1166200,Noizu
Wassu," <a href=""https://www.last.fm/music/Wassu"">Read more on Last.fm</a>",10066,49220,Sebastian Busto
Dokho,"Dokho is a Melodic House project/alias presented by Franz Hlusek aka Fast Distance. As Dokho he has managed to play this summer at the beautiful Greenfields by Tomorrowland. Under Fast Distance he has had and continues to have major releases on labels such as A State of Trance/Armada along with releases on Armins’s a famous ASOT compilations. During the years he has gained support from the biggest names in the industry: Armin van Buuren, Above & Beyond, Tiësto, Paul van Dyk just to name a few. <a href=""https://www.last.fm/music/Dokho"">Read more on Last.fm</a>",11067,60097,Flexible Fire
Braxton,"1) Braxton is Danny Duff, an electronic music producer and DJ from the North-West of England, based in Brighton.
After remixing Ashanti, Tourist, Ciara and Rüfüs; Braxton debut EP '21 Days' was released at the end of 2015 by MTA Records[/labell]. It contains 21 Days and Aspidistra. Kowloon was released on March 2016, followed by Something about you (feat. Ava James), Stronger (feat. Danni Wells) and Forever, all included on the MTA Records June released Stronger EP. <a href=""https://www.last.fm/music/Braxton"">Read more on Last.fm</a>",39386,314307,Warung
Cureton," <a href=""https://www.last.fm/music/Cureton"">Read more on Last.fm</a>",8473,36722,Clein
Kyle Walker,"Los Angeles (California) native, Kyle Walker is an act that has made monumental waves in the music scene almost instantly upon beginning his career. Influenced early on from the heavier side of electronic music, his largest inspirations, in the beginning, came from Skrillex, Doctor P, Flux Pavilion and Kill Paris. Five years and countless hours of studio time later, Kyle stumbled across Disclosure’s Grammy award-winning album “Settle” and instantly became connected to house music. <a href=""https://www.last.fm/music/Kyle+Walker"">Read more on Last.fm</a>",20074,88099,Ranger Trucco
NuKid,"NuKid is a young and exceptionally talented upcoming G-House producer well known through out his hometown of So-Cal, Los Angeles, California. NuKid has been catching a lot of people’s attention in 2016 by the likes of big producers such as Tchami, Malaa, Laidback Luke, Tommy Trash, Drezo and many more. He has also been working with big time Dutch record label Mixmash Records for a recent release and more to come. NuKid has been seen on almost every <a href=""https://www.last.fm/music/NuKid"">Read more on Last.fm</a>",5604,25891,Masteria
ArtLec," <a href=""https://www.last.fm/music/ArtLec"">Read more on Last.fm</a>",19851,115944,Meynberg
Lxury,"West London based artist and producer Andy Smith is better known as ""Lxury"", up-and-coming electronic talent.

The five smashing sounds yet released on his soundcloud leave no doubt concerning his potential to ignite the electronic scene. While an official release is very much awaited, we can't help but notice, among his other tracks, the single ""J.A.W.S"", co-produced by Disclosure, which illustrates the flavoursome mix between Smith's electronic and dance influences. <a href=""https://www.last.fm/music/Lxury"">Read more on Last.fm</a>",70552,476568,Ruze
Rendher,"Tras 6 años de carrera en Elefante -una de las bandas más importantes del rock en Uruguay con 3 discos editados: elefante 1 (1999), bazar (2001) y Forma (2002), Stella Maris, Maneco y Harry, dan comienzo a un nuevo proyecto llamado RENDHER. La nueva propuesta fluye entre el rock y el sofisticado pop electrónico mostrando una química más evolucionada entre sus integrantes reflejada en sus temas. <a href=""https://www.last.fm/music/Rendher"">Read more on Last.fm</a>",1766,7324,Miss Wichita
Hermanez,"Michael Coninx aka Hermanez was born in Genk, Limburg in Belgium. From a very early age his passion for music was apparent and when he began to DJ, that passion developed more and more. His first club appearance came at the tender age of 17 Together with a number of like-minded friends, Hermanez began to play at small parties in and around Limburg, where over time he developed his style and sound. His profile quickly started to grow as his sets found favour with his friends and peers. <a href=""https://www.last.fm/music/Hermanez"">Read more on Last.fm</a>",18379,76338,Carlo Lio
