artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Vintage Cucumber,Templin,no data,no data,activo
Parov Stelar,Austria,Linz,1974-11-27,activo
Kista,North Yorkshire,no data,no data,activo
Darren Rahn,Canada,no data,no data,activo
Dalbani & Krister,no data,no data,no data,activo
The Kingston Trio,United States,no data,1957,activo
John Coltrane,United States,Hamlet,1926-09-23,activo
yeyts.,no data,no data,no data,activo
Svaneborg Kardyb,Aarhus,no data,no data,activo
Mangrove,Netherlands,no data,no data,activo
Yazmin Lacey,United Kingdom,no data,no data,activo
James Brown,United States,Barnwell,1933-05-03,activo
Taylor Swift,United States,West Reading,1989-12-13,activo
Ken Follett,United Kingdom,Cardiff,1949-06-05,activo
paris91,France,no data,no data,activo
The E Street Band,United States,New Jersey,1972-10,activo
BADBADNOTGOOD,Canada,Toronto,2010,activo
Kris Bowers,United States,Los Angeles,1989-04-05,activo
Gillian Spencer Trio,Sweden,no data,no data,activo
Michael Bublé,Canada,Burnaby,1975-09-09,activo
Skinny Hightower,United States,no data,1985-11-12,activo
Trois Amis,no data,no data,no data,activo
Shakatak,United Kingdom,no data,1980,activo
Immanuel Wilkins,no data,no data,no data,activo
Chad Lefkowitz‐Brown,United States,no data,no data,activo
Arne Torvik Trio,Norway,no data,no data,activo
Postmodern Jukebox,United States,New York,2012,activo
Robert Schumann,Germany,Zwickau,1810-06-08,activo
Adam Hawley,United States,no data,no data,activo
Can't Swim,New Jersey,Keansburg,2015,activo
James Brown,United States,Barnwell,1933-05-03,activo
Laurindo Almeida,Brazil,São Paulo,1917-09-02,activo
Boney M.,Bonn,no data,1975,activo
Navy Blue,United States,Los Angeles,1997-01-31,activo
Till Brönner,Germany,Viersen,1971-05-06,activo
Jon Batiste,United States,Kenner,1986-11-11,activo
Erroll Garner,United States,Pittsburgh,1921-06-15,activo
Oilix,Kazakhstan,no data,no data,activo
Tomás Luis de Victoria,Spain,Sanchidrián,1548,activo
Diana Krall,Canada,Nanaimo,1964-11-16,activo
Joni Mitchell,Canada,Fort Macleod,1943-11-07,activo
Johnny Hodges,United States,Cambridge,1907-07-25,activo
State of Mind,New Zealand,Auckland,2002,activo
Dan Evans‐Parker,Sweden,no data,no data,activo
Joan Chamorro,Spain,Barcelona,1962-09-24,activo
Chaos in the CBD,London,no data,no data,activo
Sam Cooke,United States,Clarksdale,1931-01-22,activo
Phil Collins,United Kingdom,Hounslow,1951-01-30,activo
Frankie Laine,United States,Near West Side,1913-03-30,activo
Joyce Carol Oates,United States,Lockport,1938-06-16,activo
Four80East,Canada,no data,1997,activo
Michael Stylez & Co,Sweden,no data,no data,activo
GRiZ,United States,Southfield,1990-05-31,activo
Tom Jones,Wales,Pontypridd,1940-06-07,activo
Aretha Franklin,United States,Memphis,1942-03-25,activo
Felix Mendelssohn,Germany,Hamburg,1809-02-03,activo
The Kingston Trio,United States,no data,1957,activo
The Kingston Trio,United States,no data,1957,activo
Ray Charles,United States,Albany,1930-09-23,activo
The E Street Band,United States,New Jersey,1972-10,activo
James Brown,United States,Barnwell,1933-05-03,activo
Emapea,Poland,no data,no data,activo
SamuW,Amsterdam,no data,no data,activo
Ebi Soda,Brighton,no data,no data,activo
Cat Stevens,United Kingdom,Marylebone,1948-07-21,activo
Montserrat Caballé,Spain,Barcelona,1933-04-12,activo
Carl Bagge Trio,no data,no data,no data,activo
Alfa Mist,United Kingdom,Newham,no data,activo
Quantic,Bogotá,Bewdley,no data,activo
Emma‐Jean Thackray,United Kingdom,Leeds,no data,activo
Tommy Emmanuel,Australia,Muswellbrook,1955-05-31,activo
Sparrow & Bird,no data,no data,no data,activo
Bonobo,United Kingdom,Leeds,1976-03-30,activo
The E Street Band,United States,New Jersey,1972-10,activo
Chris “Big Dog” Davis,United States,Waterbury,no data,activo
Tony Bennett,United States,Long Island City,1926-08-03,activo
James Brown,United States,Barnwell,1933-05-03,activo
Jeff Beck,United Kingdom,Wallington,1944-06-24,activo
Cafe Music BGM channel,no data,no data,no data,activo
Azymuth,Brazil,Rio de Janeiro,1973,activo
Anja Lechner,Germany,Kassel,1961,activo
Deca,New York,no data,no data,activo
Melody Gardot,United States,New Jersey,1985-02-02,activo
Chet Baker,United States,Yale,1929-12-23,activo
Colin Stetson,Montréal,Ann Arbor,1975-03-03,activo
Henry Purcell,United Kingdom,Westminster,1659-09-10,activo
The Colours That Rise,United Kingdom,no data,2017-03-01,activo
JOONIE,South Korea,no data,no data,activo
Simon Jäger,Germany,Berlin,1972-03-16,activo
Jitwam,Independence,no data,no data,activo
Enrico Pieranunzi,Italy,Roma,1949-12-05,activo
Nenei,no data,no data,no data,activo
Scott Brick,United States,Santa Barbara,1966-01-30,activo
PENPALS,Japan,no data,1996-08,activo
Dave Brubeck,United States,Concord,1920-12-06,activo
Brian Culbertson,United States,Decatur,1973-01-12,activo
Kuipers & Winter,no data,no data,no data,activo
Olepash,Kyïv,no data,no data,activo
Brian Tyler,United States,Orange County,1972-05-08,activo
Thomas Fonnesbæk,no data,no data,no data,activo
Duke Ellington and His Orchestra,United States,Harlem,1927,activo
John Coltrane,United States,Hamlet,1926-09-23,activo
Street Players,United States,no data,no data,activo
iwamizu,Japan,no data,no data,activo
We Three Trio,Sweden,no data,no data,activo
Folamour,France,Lyon,no data,activo
CrazyJaZz,no data,no data,no data,activo
Jamie Lancaster,no data,no data,no data,activo
Gerald Albright,United States,Los Angeles,1957-08-30,activo
Eddie Condon,United States,Indiana,1905-11-16,activo
The Jazz Cultivators,Sweden,no data,no data,activo
Kat Edmonson,United States,Houston,1983-08-03,activo
Wolfgang Amadeus Mozart,Austria,Salzburg,1756-01-27,activo
Chris Standring,United Kingdom,Buckinghamshire,1960-12-01,activo
Dexter Gordon,United States,Los Angeles,1923-02-27,activo
Daniel Barenboim,Argentina,Buenos Aires,1942-11-15,activo
Wun Two,Furtwangen im Schwarzwald,no data,no data,activo
Henning Mankell,Sweden,Stockholm,1948-02-03,activo
Chinese Man,France,Aix-en-Provence,2004,activo
Dan Brown,United States,Rockingham County,1964-06-22,activo
Kamasi Washington,United States,Los Angeles,1981-02-18,activo
Martha Tilton,United States,no data,1915-11-14,activo
Dee Dee Bridgewater,United States,Memphis,1950-05-27,activo
Oli Silk,United Kingdom,London,1979-03-07,activo
Walter Smith III,United States,Houston,1980-09-24,activo
Nick Colionne,United States,Chicago,1953-08-19,activo
Ambrose Akinmusire,United States,Oakland,1982-05-01,activo
Caravan Palace,France,Paris,2005,activo
Tate Jackson Trio,Sweden,no data,no data,activo
Retromigration,no data,no data,no data,activo
Boozoo Bajou,Germany,Nürnberg,1998,activo
Mandevilla,Sweden,no data,no data,activo
RINZ.,Denmark,no data,no data,activo
Michael Wollny,Germany,Schweinfurt,1978-05-25,activo
Baptiste Herbin,France,Chartres,1985-08-17,activo
The Modern Jazz Quartet,United States,New York,1952,activo
toconoma,Japan,Tokyo,2008,activo
Snazzback,United Kingdom,no data,no data,activo
Hailey Tuck,London,Austin,1990-04-25,activo
Tour‐Maubourg,Paris,no data,no data,activo
Light Hands Trio,Sweden,no data,no data,activo
Holborns,Sweden,no data,no data,activo
The Beatles,United Kingdom,Liverpool,1960,activo
Greg Spero,Chicago,no data,1985-02-22,activo
FloFilz,Germany,no data,no data,activo
Matt Dusk,Canada,Toronto,1978-11-19,activo
Dave “Baby” Cortez,United States,Detroit,1938-08-13,activo
Doris Day,United States,Cincinnati,1922-04-03,activo
CMC 3,Sweden,no data,no data,activo
Andrea Wang,no data,no data,no data,activo
Self,United States,Murfreesboro,1993,activo
The Smooth Jazz Alley,no data,no data,no data,activo
Ill Considered,United Kingdom,London,no data,activo
