artista,pais de origen,area de origen,fecha inicio actividad,fin de actividad
Daniel Barenboim,Argentina,Buenos Aires,1942,activo
Gavinco,Brighton,no data,no data,activo
Capozzi,United States,no data,no data,activo
Local Singles,no data,no data,no data,activo
Shdws,no data,no data,no data,activo
Breach,United Kingdom,Hertfordshire,1981,activo
Deep Purple,United Kingdom,Hertford,1968,activo
Cassius,France,Paris,1996,activo
ZHU,United States,San Francisco,1989,activo
Victor Tellagio,no data,no data,no data,activo
Rampa,no data,no data,no data,activo
Chris Rea,United Kingdom,Middlesbrough,1951,activo
Reelow,no data,no data,no data,activo
Yotto,Finland,Helsinki,1986,activo
Elaine Paige,United Kingdom,Barnet,1948,activo
Del‐30,West Yorkshire,no data,no data,activo
Distrakt,Berlin,Australia,no data,activo
T‐Bone Walker,United States,Linden,1910,activo
UK Subs,United Kingdom,London,1977,activo
J. K. Rowling,United Kingdom,Yate,1965,activo
Curbi,Halstead,no data,no data,activo
Ruff Sqwad,United Kingdom,no data,2001,activo
Generate,Netherlands,no data,no data,activo
Blank Embrace,Russia,no data,no data,activo
FaderX,Savona,no data,no data,activo
barnacle boi,United States,Wilmington,1992,activo
Zero‐G,United Kingdom,no data,1990,activo
Karen Rose,United States,no data,no data,activo
Dean Martin,United States,Steubenville,1917,activo
Wh0,United Kingdom,no data,no data,activo
Lys Assia,Switzerland,Rupperswil,1924,activo
Dosem,Spain,Girona,no data,activo
Dr. Fresch,United States,no data,no data,activo
SNBRN,Los Angeles,no data,no data,activo
gardenstate,no data,New Jersey,2019,activo
Nhii,no data,no data,no data,activo
BROHUG,Sweden,no data,no data,activo
Cheat Codes,United States,Los Angeles,2014,activo
Bizen Lopez,no data,no data,no data,activo
Depart,no data,no data,1985,activo
Westend,Austria,Austria,1983,activo
Hermanez,Belgium,Genk,no data,activo
Marten Hørger,Germany,no data,no data,activo
GRADES,London,Croydon,no data,activo
Objekt,Germany,United Kingdom,no data,activo
HNNY,Sweden,no data,no data,activo
Wassu,New York,no data,no data,activo
Malaa,France,Paris,no data,activo
Tony Bennett,United States,Long Island City,1926,activo
Claes Rosén,Nynäshamn municipality,Sweden,no data,activo
UK Subs,United Kingdom,London,1977,activo
Shiba San,Paris,no data,no data,activo
Miane,Ibiza,no data,no data,activo
no data,no data,no data,no data,no data
Gorge,Germany,no data,no data,activo
Jesus Nava,no data,no data,no data,activo
Hollt,Amsterdam,no data,no data,activo
Sllash & Doppe,no data,no data,no data,activo
Massive Attack,United Kingdom,Bristol,1987,activo
Romare,United Kingdom,no data,no data,activo
Redondo,Amsterdam,no data,no data,activo
Tchami,France,no data,no data,activo
